iter	Passed	Remaining
0	1	102
1	1	84
2	2	88
3	3	86
4	4	88
5	5	84
6	6	81
7	6	78
8	7	75
9	8	72
10	8	69
11	9	67
12	9	65
13	10	63
14	10	62
15	11	60
16	12	58
17	12	56
18	13	56
19	13	55
20	14	54
21	15	53
22	15	53
23	16	52
24	17	52
25	18	52
26	19	52
27	20	51
28	20	51
29	21	50
30	22	50
31	23	49
32	24	48
33	24	48
34	25	47
35	26	46
36	27	46
37	27	45
38	28	44
39	29	44
40	30	43
41	30	42
42	31	41
43	31	40
44	32	39
45	33	39
46	34	38
47	34	37
48	35	37
49	36	36
50	37	35
51	37	34
52	38	34
53	39	33
54	39	32
55	40	31
56	40	30
57	41	30
58	42	29
59	42	28
60	43	28
61	44	27
62	45	26
63	45	25
64	46	25
65	47	24
66	47	23
67	48	22
68	49	22
69	50	21
70	50	20
71	51	19
72	51	19
73	52	18
74	53	17
75	53	17
76	54	16
77	55	15
78	55	14
79	56	14
80	57	13
81	57	12
82	58	11
83	58	11
84	59	10
85	60	9
86	60	9
87	61	8
88	62	7
89	62	6
90	63	6
91	64	5
92	64	4
93	65	4
94	66	3
95	66	2
96	67	2
97	67	1
98	68	0
99	69	0
